FMP14532,10
FMP14527,10
FMP14520,10
FMP14525,10
FMP14528,10
FMP14518,10
FMP14524,10
FMP14522,10
FMP14521,10
FMP14519,10
FMP14505,8
FMP14504,3
FMP14503,2
FMP14502,3
FMP14501,3
FMP14500,3
FMP14499,3
FMP14498,3
FMP14496,3
FMP14494,6
FMP14492,0
FMP14491,3
FMP14490,2
FMP14489,2
FMP14488,8
FMP14487,4
FMP14486,12
FMP14485,12
FMP14484,12
FMP14483,2
FMP14482,0
FMP14480,4
FMP14477,10
FMP14476,5
FMP14475,5
FMP14474,5
FMP14473,2
FMP14472,10
FMP14471,2
FMP14470,10
FMP14469,10
FMP14468,10
FMP14467,10
FMP14466,10
FMP14465,10
FMP14464,10
FMP14463,10
FMP14462,10
FMP14461,10
FMP14460,10
FMP14459,10
FMP14458,10
FMP14457,10
FMP14456,10
FMP14455,10
FMP14454,10
FMP14453,10
FMP14451,10
FMP14450,10
FMP14449,10
FMP14448,10
FMP14447,10
FMP14445,10
FMP14444,10
FMP14443,10
FMP14442,10
FMP14441,10
FMP14440,10
FMP14439,10
FMP14438,4
FMP14437,4
FMP14436,4
FMP14435,2
FMP14431,10
FMP14430,10
FMP14429,10
FMP14428,2
FMP14427,10
FMP14426,1
FMP14425,10
FMP14424,1
FMP14423,1
FMP14422,10
FMP14420,10
FMP14419,1
FMP14418,10
FMP14417,10
FMP14416,1
FMP14415,1
FMP14414,10
FMP14411,10
FMP14409,10
FMP14408,10
FMP14407,1
FMP14406,1
FMP14405,1
FMP14404,1
FMP14403,1
FMP14402,1
FMP14401,2
FMP14131,10
FMP14129,10
FMP14127,1
FMP14124,10
FMP14123,10
FMP14120,10
FMP14118,1
FMP14117,10
FMP14116,10
FMP14114,2
FMP14109,10
FMP14106,1
FMP14100,10
FMP14099,10
FMP14098,10
FMP14097,10
FMP14096,10
FMP14095,10
FMP14092,10
FMP14088,10
FMP14086,10
FMP14085,10
FMP14078,10
FMP14077,10
FMP14076,10
FMP14074,10
FMP14073,10
FMP14070,10
FMP14069,10
FMP14064,1
FMP14063,2
FMP14062,2
FMP14053,10
FMP14048,2
FMP900,6
FMP870,3
FMP825,3
FMP7642,3
FMP754,3
FMP7245,2
FMP4658,8
FMP3970,3
FMP3912,3
FMP3901,3
FMP3764,12
FMP3605,12
FMP3396,10
FMP3233,3
FMP3079,3
FMP2875,2
FMP2871,1
FMP2706,2
FMP2242,6
FMP202,4
FMP1804,6
FMP1545,2
